ID;journal;publ_yr;year;volume;start_page;end_page;article_group;included_in_analysis;exclusion_criteria;multi_sample_number_of;N_for_analysis;study_design;study_design_red;online_sample;student_sample;supplemental_files
105;PAID;1981;2;2;249;252;PAID (included);1;NA;1;1431;correlational;correlational;0;0;0
106;PAID;1981;2;2;252;257;PAID (included);1;NA;1;59;correlational;correlational;0;1;0
107;PAID;1981;2;2;254;257;PAID (included);1;NA;1;4767;quasi-experimental (between-design);quasi-experimental;0;0;0
108;PAID;1981;2;2;259;259;PAID (included);0;book review;1;NA;NA;NA;NA;NA;NA
109;PAID;1981;2;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
110;PAID;1981;2;NA;NA;NA;PAID (not included);NA;NA;1;NA;NA;NA;NA;NA;NA
111;PAID;1981;2;2;285;292;PAID (included);1;NA;1;12;quasi-experimental (within-design);quasi-experimental;0;0;0
112;PAID;1981;2;2;293;302;PAID (included);1;NA;1;99;correlational;correlational;0;1;0
112;PAID;1981;2;2;293;302;PAID (included);1;NA;2;56;correlational;correlational;0;1;0
112;PAID;1981;2;2;293;302;PAID (included);1;NA;3;118;correlational;correlational;0;1;0
112;PAID;1981;2;2;293;302;PAID (included);1;NA;4;146;correlational;correlational;0;1;0
112;PAID;1981;2;2;293;302;PAID (included);1;NA;5;192;correlational;correlational;0;1;0
113;PAID;1981;2;2;303;309;PAID (included);1;NA;1;33;correlational;correlational;0;1;0
114;PAID;1981;2;2;311;318;PAID (included);0;methodology article;1;NA;NA;NA;NA;NA;NA
115;PAID;1981;2;2;319;324;PAID (included);1;NA;1;194;quasi-experimental (between-design);quasi-experimental;0;0;0
116;PAID;1981;2;2;325;333;PAID (included);1;NA;1;1148;correlational;correlational;0;1;0
116;PAID;1981;2;2;325;333;PAID (included);1;NA;2;2007;correlational;correlational;0;0;0
117;PAID;1981;2;2;335;336;PAID (included);1;NA;1;30;correlational;correlational;0;1;0
118;PAID;1981;2;2;336;338;PAID (included);1;NA;1;100;quasi-experimental (between-design);quasi-experimental;0;1;0
119;PAID;1981;2;2;338;340;PAID (included);1;NA;1;200;quasi-experimental (between-design);quasi-experimental;0;0;0
120;PAID;1981;2;2;341;342;PAID (included);1;NA;1;49;experimental (between-design);experimental;0;1;0
